collected_at_utc,expert,query,video_rank,title,url,video_id,caption_status,caption_language,caption_name,transcript_word_count,transcript_excerpt_24_words
2026-05-19T10:29:25+00:00,Jason Bay,Jason Bay Outbound Squad cold calling outbound sales 2026,1,Outbound Prospecting Masterclass: Everything You Need to Book Meetings in 2026,https://www.youtube.com/watch?v=dDM80maP1N0,dDM80maP1N0,caption_found_youtube_transcript_api,en,youtube-transcript-api,7552,"So, if you're watching this video, you probably don't need to be sold on why you need to be doing more outbound right now,"
2026-05-19T10:29:25+00:00,Jason Bay,Jason Bay Outbound Squad cold calling outbound sales 2026,2,The Best Cold Calling Strategy for 2026,https://www.youtube.com/watch?v=ibsqb3M9rT0,ibsqb3M9rT0,caption_found_youtube_transcript_api,en,youtube-transcript-api,3420,"Today, I'm going to show you hands down the best cold calling strategy to use in 2026 to book hundreds of meetings with qualified"
2026-05-19T10:29:25+00:00,Jason Bay,Jason Bay Outbound Squad cold calling outbound sales 2026,3,Full 18-Minute Cold Calling Course (For SaaS Sales),https://www.youtube.com/watch?v=m2z1tgfv8Kc,m2z1tgfv8Kc,caption_found_youtube_transcript_api,en,youtube-transcript-api,3726,[Music] the average rate of success in a cold call right now according to gong is 1.48% think about that for a second that
2026-05-19T10:29:25+00:00,Jason Bay,Jason Bay Outbound Squad cold calling outbound sales 2026,4,[Playbook] State of Outbound: AI and what to expect in 2026,https://www.youtube.com/watch?v=CLH1lfk_DQU,CLH1lfk_DQU,caption_found_youtube_transcript_api,en,youtube-transcript-api,11538,"So, in today's playbook episode, we're going to talk about the state of outbound. Um, we're going to focus some on AI. We're going"
2026-05-19T10:29:25+00:00,Florin Tatulea,Florin Tatulea cold email outbound sales,1,Cold Email Secrets from Outbound Expert Florin Tatulea,https://www.youtube.com/watch?v=aaFjjDBBEzk,aaFjjDBBEzk,caption_found_youtube_transcript_api,en,youtube-transcript-api,3613,foreign welcome to another episode of the getting to Club podcast this is the show where in 15 minutes or less you get to
2026-05-19T10:29:25+00:00,Florin Tatulea,Florin Tatulea cold email outbound sales,2,"How to Use Intent-Based Selling for Huge Sales Development Success (Florin Tatulea, Common Room)",https://www.youtube.com/watch?v=YYZUVbMbln8,YYZUVbMbln8,caption_found_youtube_transcript_api,en,youtube-transcript-api,5142,[Music] good morning everybody and welcome to this leadership episode of 30 minutes to president's Club my name is Arman fro and I'm here
2026-05-19T10:29:25+00:00,Florin Tatulea,Florin Tatulea cold email outbound sales,3,Episode 22: Top SDR Florin Tatulea - Actionable Prospecting Tips to Get More Meetings (July 18 2017),https://www.youtube.com/watch?v=noRavDnWhr8,noRavDnWhr8,caption_found_youtube_transcript_api,en,youtube-transcript-api,9084,[Music] you're listening to the sales success stories podcast where we deconstruct world-class sales performers to provide insights and strategies to help you improve
2026-05-19T10:29:25+00:00,Florin Tatulea,Florin Tatulea cold email outbound sales,4,Cold Email Showdown: Rookie Sales Rep vs 10-Year Director,https://www.youtube.com/watch?v=Ag-6pB51s5o,Ag-6pB51s5o,caption_found_youtube_transcript_api,en,youtube-transcript-api,7350,"You think you got this one? >> You should be scared. [laughter] >> Using trenchy PT. Okay. >> Yeah, this is my secret sauce."
2026-05-19T10:29:25+00:00,Eric Nowoslawski,Eric Nowoslawski cold email Clay outbound,1,25 Cold Email Tips in 21 Minutes @ Clay HQ,https://www.youtube.com/watch?v=f9NSfp8M1P8,f9NSfp8M1P8,caption_found_youtube_transcript_api,en,youtube-transcript-api,5668,last year in 2024 we send between 1.5 million and 2 million cold emails on behalf of our 40 to 50 customers at any
2026-05-19T10:29:25+00:00,Eric Nowoslawski,Eric Nowoslawski cold email Clay outbound,2,"I sent 10,000,000 cold emails, here's what works in 2025",https://www.youtube.com/watch?v=cfpLJqkmB6I,cfpLJqkmB6I,caption_found_youtube_transcript_api,en,youtube-transcript-api,7073,"Did you think cold email was going to be easy? I know I did when I first got started. In the past 4 years,"
2026-05-19T10:29:25+00:00,Eric Nowoslawski,Eric Nowoslawski cold email Clay outbound,3,How We Test Cold Email Signals with Clay,https://www.youtube.com/watch?v=3THIdISjTkk,3THIdISjTkk,caption_found_youtube_transcript_api,en,youtube-transcript-api,2269,"One thing I would have to say that is becoming probably overhyped in the cold outbound, cold email, messaging guru space, whatever you want"
2026-05-19T10:29:25+00:00,Eric Nowoslawski,Eric Nowoslawski cold email Clay outbound,4,Every Cold Emailer Should Use This Clay Workflow,https://www.youtube.com/watch?v=8i3OwYsp3vM,8i3OwYsp3vM,caption_found_youtube_transcript_api,en,youtube-transcript-api,1421,people come to me all the time asking what's the hype about clay and should I really be using it and is it really
2026-05-19T10:29:25+00:00,Michel Lieben,Michel Lieben ColdIQ outbound sales Clay,1,7 AI Sales Tools You Can't Live Without!,https://www.youtube.com/watch?v=8YmzlSHX6vo,8YmzlSHX6vo,caption_found_youtube_transcript_api,en,youtube-transcript-api,5891,my AI lead generation agency makes over 3.6 million per year and I use 46 separate software applications to run it it's a lot
2026-05-19T10:29:25+00:00,Michel Lieben,Michel Lieben ColdIQ outbound sales Clay,2,The Best B2B Lead Generation Strategy in 2024,https://www.youtube.com/watch?v=0q23Y0EyM5Y,0q23Y0EyM5Y,caption_found_youtube_transcript_api,en,youtube-transcript-api,1958,over the past 7 years I've used dozens of Le generation strategies to Book Sales codes for over 75 B2B companies within that time
2026-05-19T10:29:25+00:00,Michel Lieben,Michel Lieben ColdIQ outbound sales Clay,3,"If you use Clay.com, Use These Features [TIER LIST]",https://www.youtube.com/watch?v=C9aFa9kNENw,C9aFa9kNENw,caption_found_youtube_transcript_api,en,youtube-transcript-api,8224,we used AI tools to grow our prospecting agency to 3.6 million per year in the process we tried a lot of tools one
2026-05-19T10:29:25+00:00,Michel Lieben,Michel Lieben ColdIQ outbound sales Clay,4,How I’d Build a $1M/year Cold Email Agency in 2026 (If I Had to Start Over),https://www.youtube.com/watch?v=nWRvk-uiYq0,nWRvk-uiYq0,caption_found_youtube_transcript_api,en,youtube-transcript-api,2205,Just arrived in Barcelona. We're going to visit the Cold IQ office. I'm really excited. These guys are killing it on LinkedIn and they're
2026-05-19T10:29:25+00:00,Bill Stathopoulos,Bill Stathopoulos SalesCaptain cold email outbound,1,The Cold Email Secrets Behind $1M+ Campaigns — with Bill Stathopoulos,https://www.youtube.com/watch?v=u0Fe2l1qBAI,u0Fe2l1qBAI,caption_found_youtube_transcript_api,en,youtube-transcript-api,18181,"What's up, guys? Welcome back to the NextGen Sales Leader podcast. My name is Ben Reed and I'm here with Bill Stithopoulos. He is"
2026-05-19T10:29:25+00:00,Bill Stathopoulos,Bill Stathopoulos SalesCaptain cold email outbound,2,"Cold Email Secrets: Bill Stathopoulos on Life as a Founder, OKRs, and Cold Email",https://www.youtube.com/watch?v=15fX0czKypg,15fX0czKypg,caption_found_youtube_transcript_api,en,youtube-transcript-api,7777,Welcome to the Habit Stack podcast where we talk to fellow founders who are in the thick of things as they execute their plans
